"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@MoeraneMK","M0de0 - ⚽","The vayolance we were dished today was excellent, not even Netflix could come up with such content 👌🏾 👌🏾 👌🏾 #Samke 🆚 #ChrisExcel twar https://t.co/To6DCJyE2I","0","0","0","1655842442000","21 Jun 2022","MoeraneMK/status/1539340889306370048","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | ChrisExcel"
"@Reatlegile1st","𝓡𝓮𝓪🦄","#chrisExcel #blem #Round2 #Samke reading from the whole story that Chris posted,I’m not on anyone’s side,but there are people like me who just feel sorry that Samke had to go through the whole thing during her childhood times💔sorry you had to hustle 4 ur own life @NomaguguSamke","1","0","2","1655924037000","22 Jun 2022","Reatlegile1st/status/1539683124019437568","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisExcel | blem | Round2 | Samke"
"@MBCNetworke","MBC Network","Azola Tabane popularly know as Chris Excel on Twitter humiliated by a porn star | #ChrisExcel #AzolaTabane | Number 11 | CR17BankStatements | Lindiwe Sisulu | #fearwomen | Yeoville | #StateCaptureReport | https://t.co/9wgwt5sgFO","0","0","0","1655888248000","22 Jun 2022","MBCNetworke/status/1539533012941021189","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | AzolaTabane | fearwomen | StateCaptureReport"
"@ChrisExcel","Chris","is there a job ticket and/or product in the building? It doesn't go on the schedule until pieces are here.","0","0","0","1236883770000","12 Mar 2009","ChrisExcel/status/1317536598","https://twitter.com/chrisExcel?lang=en",""
"@PropagandaPTA","Propaganda Pretoria","#PrinceBenza ‘Wampona na’ single launch.Exclusive nights to remember.Home of the good life. Book now ⭐️ 7 STAR FACILITY _ THUR 23 JUNE 2022 🎧@MasterKGsa 🎧@BenzaPrince 🎧@DJCallMe_SA 🎧@mapara_a_jazz 🎧@DjObza_ZA __ #Samke #ChrisExcel #COVID19 #PropagandaPTA #t1flavv https://t.co/e8WrfSHAol","0","8","18","1655969703000","23 Jun 2022","PropagandaPTA/status/1539874663224020993","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","PrinceBenza | Samke | ChrisExcel | COVID19 | PropagandaPTA | t1flavv"
"@ChrisExcel","Chris","any approval/word re: realpro proof/veritable job?","0","0","0","1236801163000","11 Mar 2009","ChrisExcel/status/1312318219","https://twitter.com/chrisExcel?lang=en",""
"@ChrisExcel","Chris","What ""the frick"" is the status on National Bus postcard/metallic ink folks?","0","0","0","1236789074000","11 Mar 2009","ChrisExcel/status/1311352415","https://twitter.com/chrisExcel?lang=en",""
"@Zane_bu","♐ZANE_BU♑","When @ChrisExcel102 (Nozibele) tried to mess with @NomaguguSamke uNozibele was obliterated🤣🤣🤣 Twitter is a wild space. #Samke #Twar #ChrisExcel https://t.co/VyxSMffuZm","0","0","0","1655898069000","22 Jun 2022","Zane_bu/status/1539574208824573953","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | Twar | ChrisExcel"
"@AnnzoThe1st","Annzo","I enjoyed my birthday 😊🥰🍾 #Chrisexcel https://t.co/FyOtnmaUzR","0","0","3","1655892245000","22 Jun 2022","AnnzoThe1st/status/1539549778635370497","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Chrisexcel"
"@press9919","REP🅾️RTER","We need people like in this country, shoot to kill, and eliminate criminals as soon as possible! #round2 #Chrisexcel #earthquake #Matenas #StateCaptureReport https://t.co/mSZpsYMcEj","2","2","17","1655956726000","23 Jun 2022","press9919/status/1539820233917190145","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","round2 | Chrisexcel | earthquake | Matenas | StateCaptureReport"
"@ChrisExcel102","ChrisExcel","Under the power vested on me by the Black Twitter Constitution I hereby declare round 2!! gathered information Your favourite pornster and the side she doesn’t want the public to know about her https://t.co/yzUbC6N4V8","1636","1626","7886","1655913683000","22 Jun 2022","ChrisExcel102/status/1539639696774529024","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live",""
"@Jihad_GP","Mr Truth Hurts","@ChrisExcel102 It is not my role to expose the fake people. In due time, they will expose themselves for who they really are… 🤣🤣🤣🤣🤣 #ChrisExcel #uMjoloWithAzola #PeaceAndLove #RelationshipAdvice #relationshipgoals https://t.co/WwhG5ptgRP","0","0","1","1655881430000","22 Jun 2022","Jihad_GP/status/1539504416922943488","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | uMjoloWithAzola | PeaceAndLove | RelationshipAdvice | relationshipgoals"
"@Tshego_Thaga","Tshego","Revoshots meet world. World meet Revoshots, a 360 video booth service for all your events based in GP. Let’s give your event an all round experience.✨ Insta: @Revoshots WhatsApp: 084 975 5337 #GirlTalkZA #RichMnisi #juliusmalema #chrisexcel #Samke https://t.co/XC8GzPjcXT","0","3","4","1655878726000","22 Jun 2022","Tshego_Thaga/status/1539493077525618689","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","GirlTalkZA | RichMnisi | juliusmalema | chrisexcel | Samke"
"@X_Heights","Malcolm","#Samke #ChrisExcel #Blem honestly ANC is busy with #StateCaptureReport #StateCapture #PhalaPhalaFarmGate #PhalaPhalaFarm yet young people are swimming in unemployment #ThePopeOfPopCulture https://t.co/24XlIgq221","0","0","0","1655930846000","22 Jun 2022","X_Heights/status/1539711684188803072","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | ChrisExcel | Blem | StateCaptureReport | StateCapture | PhalaPhalaFarmGate | PhalaPhalaFarm | ThePopeOfPopCulture"
"@NkosiTsonga","Simon Zitha","UPDATE on Coach Pitso https://t.co/xKpu6gVA7B via @YouTube - - - - #ChrisExcel #NhlanhlaLux #Mathoho #RoyalAM #Samke","0","0","0","1655840463000","21 Jun 2022","NkosiTsonga/status/1539332587977687042","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | NhlanhlaLux | Mathoho | RoyalAM | Samke"
